quote,author,tags
"“whenever i feel the need to exercise, i lie down until it goes away.”",Paul   Terry,['general']
"“i am nothing special, of this i am sure. i am a common man with common thoughts and i've led a common life. there are no monuments dedicated to me and my name will soon be forgotten, but i've loved another with all my heart and soul, and to me, this has always been enough..”","Nicholas Sparks,",['general']
“sometimes people are beautiful.not in looks.not in what they say.just in what they are.”,"Markus Zusak,",['general']
“you don't get to choose if you get hurt in this world...but you do have some say in who hurts you. i like my choices.”,"John Green,",['general']
"“the truth is, everyone is going to hurt you. you just got to find the ones worth suffering for.”",Bob Marley,['general']
"“the more that you read, the more things you will know. the more that you learn, the more places you'll go.”","Dr. Seuss,",['general']
"“love looks not with the eyes, but with the mind,and therefore is winged cupid painted blind.”","William Shakespeare,",['general']
“folks are usually about as happy as they make their minds up to be.”,Abraham Lincoln,['general']
"“do what you can, with what you have, where you are.”",Theodore Roosevelt,['general']
“there is no friend as loyal as a book.”,Ernest Hemingway,['general']
"“one good thing about music, when it hits you, you feel no pain.”",Bob Marley,['general']
"“i find television very educating. every time somebody turns on the set, i go into the other room and read a book.”",Groucho Marx,['general']
“the story so far:in the beginning the universe was created.this has made a lot of people very angry and been widely regarded as a bad move.”,"Douglas Adams,",['general']
“not all of us can do great things. but we can do small things with great love.”,Mother Teresa,['general']
"“success is not final, failure is not fatal: it is the courage to continue that counts.”",Winston S. Churchill,['general']
"“love is like the wind, you can't see it but you can feel it.”","Nicholas Sparks,",['general']
"“listen to the mustn'ts, child. listen to the don'ts. listen to the shouldn'ts, the impossibles, the won'ts. listen to the never haves, then listen close to me... anything can happen, child. anything can be.”",Shel Silverstein,['general']
"“when one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”",Helen Keller,['general']
"“if you live to be a hundred, i want to live to be a hundred minus one day so i never have to live without you.”","Joan Powers,",['general']
"“so, this is my life. and i want you to know that i am both happy and sad and i'm still trying to figure out how that could be.”","Stephen Chbosky,",['general']
"“saying 'i notice you're a nerd' is like saying, 'hey, i notice that you'd rather be intelligent than be stupid, that you'd rather be thoughtful than be vapid, that you believe that there are things that matter more than the arrest record of lindsay lohan. why is that?' in fact, it seems to me that most contemporary insults are pretty lame. even 'lame' is kind of lame. saying 'you're lame' is like saying 'you walk with a limp.' yeah, whatever, so does 50 cent, and he's done all right for himself.”",John Green,['general']
"“people think a soul mate is your perfect fit, and that's what everyone wants. but a true soul mate is a mirror, the person who shows you everything that is holding you back, the person who brings you to your own attention so you can change your life. a true soul mate is probably the most important person you'll ever meet, because they tear down your walls and smack you awake. but to live with a soul mate forever? nah. too painful. soul mates, they come into your life just to reveal another layer of yourself to you, and then leave. a soul mates purpose is to shake you up, tear apart your ego a little bit, show you your obstacles and addictions, break your heart open so new light can get in, make you so desperate and out of control that you have to transform your life, then introduce you to your spiritual master...”","Elizabeth Gilbert,",['general']
"“it matters not what someone is born, but what they grow to be.”","J.K. Rowling,",['general']
"“life is like riding a bicycle. to keep your balance, you must keep moving.”",Albert Einstein,['general']
"“there is nothing i would not do for those who are really my friends. i have no notion of loving people by halves, it is not my nature.”","Jane Austen,",['general']
"“you don't love someone because they're perfect, you love them in spite of the fact that they're not.”","Jodi Picoult,",['general']
“some people never go crazy. what truly horrible lives they must lead.”,Charles Bukowski,['general']
“the difference between genius and stupidity is: genius has its limits.”,Alexandre Dumas-fils,['general']
"“love never dies a natural death. it dies because we don't know how to replenish its source. it dies of blindness and errors and betrayals. it dies of illness and wounds; it dies of weariness, of witherings, of tarnishings.”",Anais Nin,['general']
"“what really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. that doesn't happen much, though.”","J.D. Salinger,",['general']
"“if you can make a woman laugh, you can make her do anything.”",Marilyn Monroe,['general']
"“weâ€™re all a little weird. and life is a little weird. and when we find someone whose weirdness is compatible with ours, we join up with them and fall into mutually satisfying weirdnessâ€”and call it loveâ€”true love.”","Robert Fulghum,",['general']
"“you donâ€™t have a soul, doctor. you are a soul. you have a body, temporarily.”","Walter M. Miller Jr.,",['general']
"“i would venture to guess that anon, who wrote so many poems without signing them, was often a woman.”","Virginia Woolf,",['general']
“some infinities are bigger than other infinities.”,"John Green,",['general']
“do one thing every day that scares you.”,Eleanor Roosevelt,['general']
“it is what you read when you don't have to that determines what you will be when you can't help it.”,Oscar Wilde,['general']
